iter	MultiClass
566	0.3852040053
567	0.3850716289
568	0.3850043725
569	0.3849401419
570	0.384820823
571	0.3847475629
572	0.3846482387
573	0.3845570283
574	0.3844293485
575	0.3843668832
576	0.3842711052
577	0.3842162551
578	0.3841253131
579	0.3839475273
580	0.3838526819
581	0.3836309334
582	0.3835840194
583	0.383440995
584	0.3833276725
585	0.3831752142
586	0.383094189
587	0.3830333298
588	0.3829266373
589	0.38281032
590	0.3827347277
591	0.3826443799
592	0.3825557508
593	0.3824950925
594	0.3823762658
595	0.3823085828
596	0.382180645
597	0.3820886159
598	0.3820035874
599	0.3819074999
600	0.3818482366
601	0.3817433741
602	0.3816935903
603	0.3816182819
604	0.3814068815
605	0.3813795541
606	0.3813014203
607	0.3811876118
608	0.3811241861
609	0.3809548737
610	0.380838871
611	0.3807240912
612	0.380668992
613	0.3805629475
614	0.3805218146
615	0.3804935061
616	0.3804561896
617	0.380337542
618	0.3802216926
619	0.3801926218
620	0.3800565682
621	0.3799830538
622	0.3799277773
623	0.3798595151
624	0.3797417998
625	0.379633485
626	0.3795327051
627	0.3794938971
628	0.3794216909
629	0.3793803207
630	0.3793379709
631	0.3792915583
632	0.379229151
633	0.3791313434
634	0.3790665969
635	0.3789391565
636	0.3788825492
637	0.3787666572
638	0.3786934806
639	0.3785644593
640	0.3785201666
641	0.3784049475
642	0.3783253569
643	0.3782719632
644	0.3782047825
645	0.3780345224
646	0.3778703834
647	0.3778096427
648	0.3777090261
649	0.3776615786
650	0.3776232608
651	0.377573912
652	0.3774592097
653	0.3773632214
654	0.3772593815
655	0.3771418908
656	0.3770920856
657	0.3770694062
658	0.3770205117
659	0.3768457473
660	0.3767706795
661	0.3766590603
662	0.3765702349
663	0.376438315
664	0.3763475595
665	0.3763045293
666	0.3762248874
667	0.37617448
668	0.3760999542
669	0.3760871381
670	0.3760542558
671	0.3760162122
672	0.3759570641
673	0.3758924444
674	0.3757823725
675	0.3756980863
676	0.3755917595
677	0.3755343819
678	0.375429753
679	0.3753476773
680	0.3752126708
681	0.3750653445
682	0.3749335259
683	0.3748540187
684	0.3747474973
685	0.3746655258
686	0.3745295492
687	0.3744082539
688	0.3743076381
689	0.3742265977
690	0.3741672772
691	0.3741257691
692	0.3740732435
693	0.3740501262
694	0.3740087329
695	0.3739648963
696	0.373942009
697	0.3738853987
698	0.3737934833
699	0.3737519711
700	0.3736512578
701	0.373544395
702	0.3734438796
703	0.3734139565
704	0.373317119
705	0.373180023
706	0.3731283341
707	0.3730539625
708	0.3730021045
709	0.372903948
710	0.3728636912
711	0.3728022863
712	0.3727463599
713	0.3726964433
714	0.3726223825
715	0.3725849435
716	0.3724740494
717	0.3724023786
718	0.3723200947
719	0.3722661578
720	0.3721955492
721	0.3721125495
722	0.3720357492
723	0.3719967674
724	0.3718877911
725	0.3718026726
726	0.3717787022
727	0.37169113
728	0.3716116991
729	0.3715138532
730	0.3714808475
731	0.3713844311
732	0.3713019167
733	0.3712465888
734	0.3711653248
735	0.3711268012
736	0.3710664296
737	0.3710208383
738	0.3709375609
739	0.3708506415
740	0.3707968171
741	0.3707689467
742	0.3706923539
743	0.3706733224
744	0.370620579
745	0.370582305
746	0.3705450405
747	0.3704862054
748	0.3704308789
749	0.3703362691
750	0.3702980184
751	0.370204583
752	0.3701232965
753	0.3700129414
754	0.3698769724
755	0.3697731181
756	0.3696998268
757	0.3695473251
758	0.3694810304
759	0.3694282134
760	0.3693713858
761	0.3693338146
762	0.3692771513
763	0.3690739558
764	0.3689334303
765	0.3688633618
766	0.3688012169
767	0.3687213662
768	0.3685631913
769	0.3685254532
770	0.3684633479
771	0.3684080066
772	0.3682882367
773	0.3682009586
774	0.3681082385
775	0.3680304718
776	0.3679275002
777	0.3679051052
778	0.3678712045
779	0.3678466723
780	0.3678099191
781	0.3676968296
782	0.3676243594
783	0.3675799368
784	0.3675452224
785	0.3674380087
786	0.3674101246
787	0.3673323492
788	0.3671532628
789	0.367082754
790	0.3669738154
791	0.3669495781
792	0.3669035079
793	0.366826467
794	0.3666593648
795	0.3666349123
796	0.3665579525
797	0.3664657501
798	0.3663945133
799	0.3663043506
800	0.3661541442
801	0.3660511574
802	0.3659912468
803	0.3659814509
804	0.3658866485
805	0.365799194
806	0.3656942595
807	0.3656295605
808	0.3654930563
809	0.3653425643
810	0.3652886579
811	0.3652503981
812	0.3651555646
813	0.365124334
814	0.3650531627
815	0.3649510239
816	0.3648925393
817	0.3647681262
818	0.364752955
819	0.3646713616
820	0.364573429
821	0.3644677518
822	0.3643880517
823	0.3643198719
824	0.3642407072
825	0.3641841651
826	0.3641096827
827	0.3640313663
828	0.3639616665
829	0.3638824182
830	0.3637862345
831	0.3637252877
832	0.3636521765
833	0.3635797202
834	0.363517904
835	0.3634201773
836	0.3633639035
837	0.3632663791
838	0.3631805231
839	0.3630815761
840	0.363025639
841	0.3629524441
842	0.3629142019
843	0.3628632546
844	0.3627990427
845	0.3627001641
846	0.3626602861
847	0.3625896074
848	0.3625061734
849	0.3624794422
850	0.3624174329
851	0.3623202451
852	0.3622944849
853	0.3622397075
854	0.362113127
855	0.3620199735
856	0.3619247097
857	0.36185139
858	0.3617958939
859	0.3617468883
860	0.3616537017
861	0.3616345469
862	0.361599217
863	0.3614966475
864	0.361404755
865	0.3612892527
866	0.3611726496
867	0.3611607983
868	0.3611024217
869	0.3610233035
870	0.3609568573
871	0.3608744583
872	0.3608046185
873	0.3606708541
874	0.3606021968
875	0.3605271239
876	0.3604129273
877	0.3603695453
878	0.3603175047
879	0.3602537073
880	0.3601942782
881	0.3601537936
882	0.3601020934
883	0.3599974878
884	0.3599361382
885	0.3598512478
886	0.3597875211
887	0.3597172848
888	0.3596140519
889	0.3595502299
890	0.359464543
891	0.359429413
892	0.3593908703
893	0.3592740085
894	0.3592419097
895	0.3591277217
896	0.3590180885
897	0.3589731631
898	0.3588881539
899	0.3588136241
900	0.358726236
901	0.3585815251
902	0.3584798049
903	0.3584238694
904	0.3583806426
905	0.3582817776
906	0.3582113328
907	0.3581146694
908	0.3580103336
909	0.3578999844
910	0.3578160141
911	0.357694949
912	0.3575991396
913	0.3575605181
914	0.357490692
915	0.357449022
916	0.3573531051
917	0.3572561229
918	0.3571520366
919	0.357086989
920	0.356989663
921	0.356943747
922	0.3569261201
923	0.3568313458
924	0.356733341
925	0.3566808146
926	0.3565620299
927	0.3565310908
928	0.3563944099
929	0.3563458574
930	0.3562866056
931	0.3562259936
932	0.3561840394
933	0.3561184706
934	0.3560730153
935	0.3560118213
936	0.3558848296
937	0.3558418138
938	0.3558138424
939	0.355773927
940	0.3557087082
941	0.3556030399
942	0.355545473
943	0.3554470246
944	0.3553829006
945	0.3553366761
946	0.3552418343
947	0.3552299022
948	0.3551354227
949	0.3550821417
950	0.3550195019
951	0.354930807
952	0.3548535238
953	0.3547821581
954	0.3547291426
955	0.3546815491
956	0.3546415511
957	0.3545356229
958	0.3544748405
959	0.3543919103
960	0.3543308381
961	0.3543024174
962	0.3542890167
963	0.3542234423
964	0.3541304967
965	0.3540736016
966	0.3540181268
967	0.3539553525
968	0.35388059
969	0.3538240775
970	0.3537746013
971	0.3537202999
972	0.3535778432
973	0.3534570544
974	0.3533931465
975	0.3533486288
976	0.3532592504
977	0.3532163582
978	0.35319472
979	0.3530430142
980	0.3529960302
981	0.3529287557
982	0.3528595838
983	0.352783842
984	0.3527229559
985	0.3526990693
986	0.3526247379
987	0.3525465143
988	0.3524661353
989	0.3524319557
990	0.3523826405
991	0.352290076
992	0.3522126693
993	0.3521418848
994	0.3520543018
995	0.3519027479
996	0.3518486359
997	0.3517692311
998	0.351719213
999	0.3516641599
